file,collection,kind,slug,route,locale,title,words,tables,mdLinks,quickAnswer,properties,dataPoints,faqs,checklist,source,sourceUrl,relatedEntityCount,rendered
src\content\derived\evidence\5-axis-tolerances.md,evidence,Evidence,5-axis-tolerances,/evidence/5-axis-tolerances/,en,5-Axis Titanium Machining — Achievable Tolerances,219,1,0,true,false,true,true,false,true,false,7,NO
src\content\derived\evidence\bead-blasting-surface-roughness.md,evidence,Evidence,bead-blasting-surface-roughness,/evidence/bead-blasting-surface-roughness/,en,Titanium Bead Blasting — Surface Roughness Data,201,1,0,true,false,true,true,false,true,false,5,NO
src\content\derived\evidence\cnc-turning-parameters.md,evidence,Evidence,cnc-turning-parameters,/evidence/cnc-turning-parameters/,en,cnc-turning-parameters,91,1,0,false,false,false,false,false,false,false,0,NO
src\content\derived\evidence\dmls-parameters.md,evidence,Evidence,dmls-parameters,/evidence/dmls-parameters/,en,dmls-parameters,92,1,0,false,false,false,false,false,false,false,0,NO
src\content\derived\evidence\grade-1-properties.md,evidence,Evidence,grade-1-properties,/evidence/grade-1-properties/,en,grade-1-properties,59,1,0,false,false,false,false,false,false,false,0,NO
src\content\derived\evidence\grade-12-properties.md,evidence,Evidence,grade-12-properties,/evidence/grade-12-properties/,en,grade-12-properties,46,1,0,false,false,false,false,false,false,false,0,NO
src\content\derived\evidence\grade-2-properties.md,evidence,Evidence,grade-2-properties,/evidence/grade-2-properties/,en,grade-2-properties,94,1,0,false,false,false,false,false,false,false,0,NO
src\content\derived\evidence\grade-23-material-properties.md,evidence,Evidence,grade-23-material-properties,/evidence/grade-23-material-properties/,en,Ti-6Al-4V ELI (Grade 23) — Complete Material Properties,213,1,0,true,false,true,true,false,true,true,6,NO
src\content\derived\evidence\grade-3-properties.md,evidence,Evidence,grade-3-properties,/evidence/grade-3-properties/,en,grade-3-properties,50,1,0,false,false,false,false,false,false,false,0,NO
src\content\derived\evidence\grade-4-properties.md,evidence,Evidence,grade-4-properties,/evidence/grade-4-properties/,en,grade-4-properties,50,1,0,false,false,false,false,false,false,false,0,NO
src\content\derived\evidence\grade-5-milling-parameters.md,evidence,Evidence,grade-5-milling-parameters,/evidence/grade-5-milling-parameters/,en,Ti-6Al-4V Milling — Recommended Cutting Parameters,199,1,0,true,false,true,true,false,true,false,4,NO
src\content\derived\evidence\grade-5-milling-roughing-data.md,evidence,Evidence,grade-5-milling-roughing-data,/evidence/grade-5-milling-roughing-data/,en,grade-5-milling-roughing-data,75,1,0,false,false,false,false,false,false,false,0,NO
src\content\derived\evidence\grade-5-turning-parameters.md,evidence,Evidence,grade-5-turning-parameters,/evidence/grade-5-turning-parameters/,en,grade-5-turning-parameters,82,1,0,false,false,false,false,false,false,false,0,NO
src\content\derived\evidence\grade-7-properties.md,evidence,Evidence,grade-7-properties,/evidence/grade-7-properties/,en,grade-7-properties,47,1,0,false,false,false,false,false,false,false,0,NO
src\content\derived\evidence\grade-9-properties.md,evidence,Evidence,grade-9-properties,/evidence/grade-9-properties/,en,grade-9-properties,70,1,0,false,false,false,false,false,false,false,0,NO
src\content\derived\evidence\machining-tolerances.md,evidence,Evidence,machining-tolerances,/evidence/machining-tolerances/,en,machining-tolerances,127,1,0,false,false,false,false,false,false,false,0,NO
src\content\derived\evidence\surface-finish-comparison.md,evidence,Evidence,surface-finish-comparison,/evidence/surface-finish-comparison/,en,surface-finish-comparison,103,1,0,false,false,false,false,false,false,false,0,NO
src\content\derived\evidence\ti-10-2-3-properties.md,evidence,Evidence,ti-10-2-3-properties,/evidence/ti-10-2-3-properties/,en,ti-10-2-3-properties,50,1,0,false,false,false,false,false,false,false,0,NO
src\content\derived\evidence\ti-6al-4v-hardness-data.md,evidence,Evidence,ti-6al-4v-hardness-data,/evidence/ti-6al-4v-hardness-data/,en,ti-6al-4v-hardness-data,81,1,0,false,false,false,false,false,false,false,0,NO
src\content\derived\evidence\ti-6al-4v-material-properties.md,evidence,Evidence,ti-6al-4v-material-properties,/evidence/ti-6al-4v-material-properties/,en,Ti-6Al-4V (Grade 5) — Complete Material Properties,325,1,0,true,false,true,true,false,true,true,9,NO
src\content\derived\evidence\titanium-anodizing-properties.md,evidence,Evidence,titanium-anodizing-properties,/evidence/titanium-anodizing-properties/,en,titanium-anodizing-properties,98,1,0,false,false,false,false,false,false,false,0,NO
src\content\derived\evidence\titanium-corrosion-data.md,evidence,Evidence,titanium-corrosion-data,/evidence/titanium-corrosion-data/,en,titanium-corrosion-data,82,1,0,false,false,false,false,false,false,false,0,NO
src\content\derived\evidence\titanium-cost-data.md,evidence,Evidence,titanium-cost-data,/evidence/titanium-cost-data/,en,titanium-cost-data,109,1,0,false,false,false,false,false,false,false,0,NO
src\content\derived\evidence\titanium-drilling-data.md,evidence,Evidence,titanium-drilling-data,/evidence/titanium-drilling-data/,en,titanium-drilling-data,111,1,0,false,false,false,false,false,false,false,0,NO
src\content\derived\evidence\titanium-fatigue-data.md,evidence,Evidence,titanium-fatigue-data,/evidence/titanium-fatigue-data/,en,titanium-fatigue-data,87,1,0,false,false,false,false,false,false,false,0,NO
src\content\derived\evidence\titanium-inspection-data.md,evidence,Evidence,titanium-inspection-data,/evidence/titanium-inspection-data/,en,titanium-inspection-data,109,1,0,false,false,false,false,false,false,false,0,NO
src\content\derived\evidence\titanium-surface-roughness-standards.md,evidence,Evidence,titanium-surface-roughness-standards,/evidence/titanium-surface-roughness-standards/,en,titanium-surface-roughness-standards,74,1,0,false,false,false,false,false,false,false,0,NO
src\content\derived\evidence\titanium-welding-data.md,evidence,Evidence,titanium-welding-data,/evidence/titanium-welding-data/,en,titanium-welding-data,148,1,0,false,false,false,false,false,false,false,0,NO
src\content\derived\evidence\wire-edm-parameters.md,evidence,Evidence,wire-edm-parameters,/evidence/wire-edm-parameters/,en,wire-edm-parameters,113,1,0,false,false,false,false,false,false,false,0,NO
src\content\derived\comparisons\5-axis-vs-3-axis-machining.md,comparisons,Comparison,5-axis-vs-3-axis-machining,/compare/5-axis-vs-3-axis-machining/,en,5-axis-vs-3-axis-machining,95,1,0,false,false,false,false,false,false,false,0,YES
src\content\derived\comparisons\anodizing-vs-passivation.md,comparisons,Comparison,anodizing-vs-passivation,/compare/anodizing-vs-passivation/,en,anodizing-vs-passivation,84,1,0,false,false,false,false,false,false,false,0,YES
src\content\derived\comparisons\cnc-machining-vs-dmls.md,comparisons,Comparison,cnc-machining-vs-dmls,/compare/cnc-machining-vs-dmls/,en,CNC Machining vs DMLS/SLM: Complete Comparison for Titanium,398,1,0,true,false,false,true,false,false,false,2,YES
src\content\derived\comparisons\cp-titanium-vs-alloy-titanium.md,comparisons,Comparison,cp-titanium-vs-alloy-titanium,/compare/cp-titanium-vs-alloy-titanium/,en,cp-titanium-vs-alloy-titanium,82,1,0,false,false,false,false,false,false,false,0,YES
src\content\derived\comparisons\grade-2-vs-grade-5.md,comparisons,Comparison,grade-2-vs-grade-5,/compare/grade-2-vs-grade-5/,en,grade-2-vs-grade-5,157,1,0,true,false,false,false,false,false,false,0,YES
src\content\derived\comparisons\grade-2-vs-grade-9.md,comparisons,Comparison,grade-2-vs-grade-9,/compare/grade-2-vs-grade-9/,en,grade-2-vs-grade-9,87,1,0,false,false,false,false,false,false,false,0,YES
src\content\derived\comparisons\grade-5-vs-grade-23.md,comparisons,Comparison,grade-5-vs-grade-23,/compare/grade-5-vs-grade-23/,en,Grade 5 (Ti-6Al-4V) vs Grade 23 (Ti-6Al-4V ELI): Complete Comparison,486,1,0,true,false,false,true,false,false,false,8,YES
src\content\derived\comparisons\grade-5-vs-stainless-304.md,comparisons,Comparison,grade-5-vs-stainless-304,/compare/grade-5-vs-stainless-304/,en,grade-5-vs-stainless-304,89,1,0,false,false,false,false,false,false,false,0,YES
src\content\derived\comparisons\grade-5-vs-ti-6242.md,comparisons,Comparison,grade-5-vs-ti-6242,/compare/grade-5-vs-ti-6242/,en,grade-5-vs-ti-6242,82,1,0,false,false,false,false,false,false,false,0,YES
src\content\derived\comparisons\grade-9-vs-grade-5.md,comparisons,Comparison,grade-9-vs-grade-5,/compare/grade-9-vs-grade-5/,en,grade-9-vs-grade-5,92,1,0,false,false,false,false,false,false,false,0,YES
src\content\derived\comparisons\titanium-vs-aluminum.md,comparisons,Comparison,titanium-vs-aluminum,/compare/titanium-vs-aluminum/,en,titanium-vs-aluminum,83,1,0,false,false,false,false,false,false,false,0,YES
src\content\derived\comparisons\titanium-vs-carbon-fiber.md,comparisons,Comparison,titanium-vs-carbon-fiber,/compare/titanium-vs-carbon-fiber/,en,titanium-vs-carbon-fiber,94,1,0,false,false,false,false,false,false,false,0,YES
src\content\derived\comparisons\titanium-vs-inconel-718.md,comparisons,Comparison,titanium-vs-inconel-718,/compare/titanium-vs-inconel-718/,en,Titanium (Ti-6Al-4V) vs Inconel 718: Complete Comparison,347,1,0,true,false,false,true,false,false,false,6,YES
src\content\derived\comparisons\titanium-vs-stainless-316l.md,comparisons,Comparison,titanium-vs-stainless-316l,/compare/titanium-vs-stainless-316l/,en,titanium-vs-stainless-316l,101,1,0,false,false,false,false,false,false,false,0,YES
src\content\derived\comparisons\vacuum-vs-atmosphere-heat-treat.md,comparisons,Comparison,vacuum-vs-atmosphere-heat-treat,/compare/vacuum-vs-atmosphere-heat-treat/,en,vacuum-vs-atmosphere-heat-treat,85,1,0,false,false,false,false,false,false,false,0,YES
src\content\derived\comparisons\wire-edm-vs-laser-cutting.md,comparisons,Comparison,wire-edm-vs-laser-cutting,/compare/wire-edm-vs-laser-cutting/,en,wire-edm-vs-laser-cutting,118,1,0,false,false,false,false,false,false,false,0,YES
src\content\derived\procurement\as9100d-documentation.md,procurement,Procurement,as9100d-documentation,/procurement/as9100d-documentation/,en,AS9100D Documentation Requirements,0,0,0,true,false,false,false,false,false,false,0,NO
src\content\derived\procurement\cad-file-requirements.md,procurement,Procurement,cad-file-requirements,/procurement/cad-file-requirements/,en,CAD File Requirements for Titanium RFQs,0,0,0,true,false,false,false,false,false,false,0,NO
src\content\derived\procurement\cmm-inspection.md,procurement,Procurement,cmm-inspection,/procurement/cmm-inspection/,en,CMM Inspection for Titanium Components,0,0,0,true,false,false,false,false,false,false,0,NO
src\content\derived\procurement\coa-vs-coc.md,procurement,Procurement,coa-vs-coc,/procurement/coa-vs-coc/,en,COA vs COC for Titanium Material Certifications,0,0,0,true,false,false,false,false,false,false,0,NO
src\content\derived\procurement\drawing-best-practices.md,procurement,Procurement,drawing-best-practices,/procurement/drawing-best-practices/,en,Engineering Drawing Best Practices,0,0,0,true,false,false,false,false,false,false,0,NO
src\content\derived\procurement\export-packaging.md,procurement,Procurement,export-packaging,/procurement/export-packaging/,en,Export Packaging for Titanium Components,0,0,0,true,false,false,false,false,false,false,0,NO
src\content\derived\procurement\fai-guide.md,procurement,Procurement,fai-guide,/procurement/fai-guide/,en,First Article Inspection (FAI) Guide,0,0,0,true,false,false,false,false,false,false,0,NO
src\content\derived\procurement\how-to-submit-rfq.md,procurement,Procurement,how-to-submit-rfq,/procurement/how-to-submit-rfq/,en,How to Submit an RFQ,7,0,0,true,false,false,false,false,false,false,0,NO
src\content\derived\procurement\incoterms-guide.md,procurement,Procurement,incoterms-guide,/procurement/incoterms-guide/,en,Incoterms Guide for Titanium Manufacturing,0,0,0,true,false,false,false,false,false,false,0,NO
src\content\derived\procurement\inspection-report-guide.md,procurement,Procurement,inspection-report-guide,/procurement/inspection-report-guide/,en,Titanium Part Inspection Report Guide,0,0,0,true,false,false,false,false,false,false,0,NO
src\content\derived\procurement\material-certification-guide.md,procurement,Procurement,material-certification-guide,/procurement/material-certification-guide/,en,Material Certification Guide for Titanium Parts,31,0,0,true,false,false,false,false,false,false,0,NO
src\content\derived\procurement\mill-test-report-guide.md,procurement,Procurement,mill-test-report-guide,/procurement/mill-test-report-guide/,en,Mill Test Report (MTR) Guide for Titanium,0,0,0,true,false,false,false,false,false,false,0,NO
